"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[92]",7.4322227475,0.0526368651480325,2.41952695866012,4.961845,10.09992,2112.90951069606,1.0001369308858
"lambda[93]",27.3587084075,0.243383115266582,13.8592649621654,13.87445,44.73486,3242.64573660841,1.00046130381337
"lambda[94]",16.1926396715,0.976394989052786,23.7798515145324,2.228572,49.23672,593.153630798097,1.00303321545829
"lambda[95]",42.089790875,0.28255446987849,15.6639675768354,25.81497,61.50929,3073.25917580957,1.00290260549226
"lambda[96]",4.18997237325,0.149325678923229,3.56838588445113,2.378208,5.77232,571.050649116,1.00574086876022
"lambda[97]",6.59521437,0.121584537347124,3.88733185542322,4.118016,8.921221,1022.22510204118,1.00535143542613
"lambda[98]",20.50795607,0.10086892415047,7.37608666119261,12.68048,29.19719,5347.33316552256,1.00006896147007
"lambda[99]",17.7518003575,0.168464567682396,9.85827615428425,8.643667,29.62545,3424.4025805687,1.00074601963034
"lambda[100]",22.381818275,0.147406820050239,9.94079537886284,11.96956,34.43106,4547.86028145528,0.999313418054827
"lambda[101]",13.6155048325,0.205533952587108,10.1647918225019,6.040004,25.21296,2445.85005601763,1.00163371484385
"lambda[102]",13.897603605,0.109946092968312,6.68843935783107,7.761616,21.54316,3700.75202740615,1.00145321207014
"lambda[103]",10.1835638375,0.23560855195395,9.48937114623294,4.810887,16.90061,1622.15655472278,1.00591696807878
"lambda[104]",5.49301796,0.0185165174082164,1.53189929480047,3.650433,7.48975,6844.50140360252,0.999445234478299
"lambda[105]",29.5306759425,0.420027309865081,20.510769620484,7.745047,53.91305,2384.56329977562,1.00159469211601
"lambda[106]",9.4414376725,0.0318189902433182,2.33563634383355,6.601953,12.42116,5388.1249957887,1.00080847929836
"lambda[107]",15.55063965,0.184324225745163,9.08296319614648,8.05164,25.43541,2428.23252649336,1.00095672391183
"lambda[108]",16.254338815,0.143944763384422,8.94317625541761,8.446344,26.76357,3860.04030865167,1.00004775507602
"lambda[109]",6.43041133,0.0767112548365472,3.10470650965978,3.974606,8.914839,1638.03407016528,1.00074383099826
"lambda[110]",4.4360058025,0.0142370115085719,1.12335783357952,3.031007,5.932663,6225.84872572786,1.00111280093362
"lambda[111]",8.0363009825,0.304011020844965,9.91867541183353,3.517104,13.36675,1064.45841853631,1.00748212023056
"lambda[112]",7.434801825,0.133012684966533,6.22781173762247,3.41358,13.05833,2192.22351085669,1.00267982764712
"lambda[113]",7.76323457,0.119453659516694,4.22998051707094,4.780526,10.57524,1253.94305927989,1.00281857309986
"lambda[114]",25.485985025,0.126171814448559,8.50546759056631,16.63777,35.81241,4544.3491436023,1.00003492324538
"lambda[115]",15.0503451275,0.0772312436338577,5.75789010819996,8.447812,22.28084,5558.28341335578,0.999380066955492
"lambda[116]",6.9653012,0.0207775033110434,1.67952760218847,4.922425,9.121482,6534.12699344429,1.00035428851844
"lambda[117]",20.71660228,0.157255202419034,9.58622228283862,11.25063,32.43172,3716.07906976531,1.00061347746492
"lambda[118]",8.3234019125,0.0465181027974879,3.10088004786492,4.901179,12.24585,4443.50778233685,1.00070850869094
"lambda[119]",10.30669647,0.0445574151783054,3.23863241286064,6.414713,14.59784,5283.03317768977,0.999459394937831
"lambda[120]",19.3009657475,0.53871402275713,19.3107752387684,4.315877,45.2587,1284.94002499936,1.00060343928409
"lambda[121]",6.8711135475,0.216118927171012,6.85372343892122,3.564245,9.129669,1005.69790544463,1.00622260832772
"lambda[122]",8.99279278,0.0721547379526433,4.118876357208,5.176408,13.59769,3258.57561289656,1.00053594141512
"lambda[123]",19.1456142275,0.308233278898295,15.8327819859137,5.138651,39.04803,2638.48974718387,1.00038454303342
"lambda[124]",6.2568539175,0.0922132093106321,4.13935569321322,3.481504,9.000735,2015.0193422669,0.999824836799206
"lambda[125]",12.6698663775,0.051410868014938,3.70753495188461,8.117766,17.67076,5200.68601820875,0.99928777766491
"lambda[126]",17.7569866075,0.120812788157343,7.82981110582168,9.477401,28.34464,4200.26561652157,1.0011252856927
"lambda[127]",12.9869567675,0.0727837958698515,4.95310217945185,7.830089,19.09517,4631.1108000742,0.999662152266509
"lambda[128]",9.7705987875,0.219216301617598,8.94853604354707,4.24443,18.23346,1666.31955268562,1.0007455554131
"lambda[129]",22.627005555,0.187212321962493,11.5242844449356,10.01561,37.07441,3789.30077437771,1.0014982589572
"lambda[130]",18.44305611,0.143421484669498,8.77042436275675,10.39466,27.99595,3739.49353873661,1.00038912537812
"lambda[131]",7.90090085,0.108359476904635,3.93036596484867,4.949875,11.21805,1315.62519233956,1.0024015775908
"lambda[132]",9.85072548,0.0603672364010151,3.37581787002118,6.49802,13.72783,3127.19833942347,1.00010443272796
"lambda[133]",15.013323515,0.196627435614125,9.93768923370693,7.02963,26.91874,2554.36286982764,1.00035019483291
"lambda[134]",12.13174892625,3.62912796150272,26.5160464014775,1.24709,44.29229,53.3842293481774,1.07443944569559
"lambda[135]",4.5134884325,0.553960919698373,6.02940492865029,2.558141,5.475623,118.465160726625,1.03566723403857
"lambda[136]",8.251427005,0.0502627067763921,3.49638870820642,4.573538,12.61974,4838.91142399243,1.00003946365539
"lambda[137]",6.8839924825,0.105179875114375,3.95421027217982,4.279699,9.185998,1413.36462866488,1.0026908265477
"lambda[138]",15.2610132225,0.0652257284994528,5.0429711019681,9.490046,21.8081,5977.71330594605,0.999978353287815
"lambda[139]",5.2094402205,0.316346091261216,8.0341314041452,2.315367,6.651753,644.989902755643,1.008839724187
"lambda[140]",4.292332875,0.0147637032385319,1.11990401797909,2.898343,5.753369,5754.01502608045,1.00071655972236
"lambda[141]",11.277595345,0.0460640564391837,3.37888494424157,7.164567,15.63393,5380.49767532233,1.00038212406238
"lambda[142]",8.1704157,0.0270315211949495,1.95724483629173,5.761277,10.75091,5242.63158234612,0.99933859586011
"lambda[143]",7.706483755,0.387789831068348,9.87554595226338,3.446346,9.758596,648.52899158959,1.00160379378713
"lambda[144]",19.3852545175,0.182471461740214,10.5395492102438,9.04272,32.23186,3336.21606801544,0.999868462619679
"lambda[145]",17.799996295,0.207978653089613,11.5035021315755,7.893178,31.7497,3059.30398204635,1.00008474366726
"lambda[146]",3.91190381375,0.0139807849738572,1.11946933862247,2.530187,5.39212,6411.52431569465,1.0002129067959
"lambda[147]",9.1555343375,0.110778765285756,4.84792946002551,5.749483,12.31171,1915.1356619133,1.00183540594297
"lambda[148]",9.3873944375,0.0323169078407069,2.40803333086149,6.45812,12.54286,5552.20366363201,0.999561095293348
"lambda[149]",4.15682447375,0.0159582728654353,1.26935349776527,2.604063,5.826185,6326.9353216063,0.999257338365438
"lambda[150]",7.6069013675,0.169178468349871,5.19733902125563,4.579922,10.06564,943.782490418561,1.00411571777024
"lambda[151]",10.9674823675,0.0389565202002312,3.00011038219156,7.378398,14.98703,5930.81196151631,0.999717113880408
"lambda[152]",10.18136069375,2.64786756485909,24.87692862325,1.1291,36.81617,88.2675354588118,1.05531901671382
"lambda[153]",3.49638326825,0.0115420117367773,0.970712833793573,2.327755,4.755613,7073.24204394094,1.00014080355628
"lambda[154]",9.17748377,0.066087980870463,3.62996459939429,5.496844,13.1752,3016.89234084432,0.999932589904489
"lambda[155]",7.9084716875,0.076217463298952,3.91896531029776,4.361547,11.88933,2643.83201835024,1.00142572551312
"lambda[156]",9.7939066725,0.037919432249352,2.9265362485416,6.411514,13.68586,5956.40422500541,0.999439829418718
"lambda[157]",15.558551875,0.146188411852638,8.31402903274259,8.545558,23.44567,3234.42568637051,0.999776091000878
"lambda[158]",41.54086703,0.245183715642136,15.6427479532661,25.38618,60.91721,4070.45399702644,1.00107252748747
"lambda[159]",5.71152374225,0.244217245652427,6.1022329535256,3.028613,7.655723,624.345388134145,1.00905708887821
"lambda[160]",10.70871024,0.0431435708258287,3.44061131488855,6.839718,14.87089,6359.73547688784,0.999478231951332
"lambda[161]",33.043246525,0.242075551430937,14.1007717023426,18.79668,51.31692,3393.00033733075,1.00197103668841
"lambda[162]",17.8498556675,0.153740369995481,9.57545390398626,9.136156,29.3381,3879.20647513853,0.999923093226557
"lambda[163]",40.9521747,0.264059745765959,14.6506318918044,26.03671,58.86676,3078.28135190961,1.00383687207997
"lambda[164]",16.2238076125,0.091320686370601,6.71059488883902,9.080453,24.38235,5399.87503548367,0.999780194485646
"lambda[165]",21.56330530225,19.1708066942363,38.6790866033367,0.9489509,71.66621,4.07072386620953,1.41216544562179
"lambda[166]",35.067859325,0.226059344154897,13.4811666684962,20.90373,51.85259,3556.3953137109,1.00006572215628
"lambda[167]",7.58625545,0.174177994400815,5.12835300888701,4.408942,10.24954,866.900499512516,1.00371977530662
"lambda[168]",4.21858563075,0.0148444838221393,1.17562161707501,2.746526,5.765092,6271.98375591382,1.00014991633962
"lambda[169]",16.727202075,0.235517329012029,12.4310910338381,6.467396,30.46172,2785.94641493261,0.999978570252374
"lambda[170]",4.1848392645,1.51817476594857,11.8828483258918,1.597544,3.986748,61.2629027068165,1.07205516431386
"lambda[171]",7.5028681575,0.136285787610398,4.62917746217638,4.434394,10.4157,1153.73621050213,1.00723158004635
"lambda[172]",6.1464699,0.0733005486893162,2.0454376790172,4.127445,8.234193,778.678265012023,1.00349254845485
"lambda[173]",14.4941329575,0.209593939832296,10.3206751640726,6.833332,26.52828,2424.70426052428,1.00072629853981
"lambda[174]",22.2239144425,0.281180097392232,14.9776065675762,7.999076,39.37465,2837.36810581862,0.999640204870102
"lambda[175]",15.5937240905,0.453915745388011,18.261003015887,2.816679,38.24064,1618.44803941107,1.00177262559527
"lambda[176]",8.5716979825,0.153947857849802,5.63032396167744,4.881851,12.61,1337.57908187029,0.999869124445318
"lambda[177]",15.0512390675,0.0568587518655889,4.33096213580802,10.1874,20.54895,5801.95197432354,1.00083920085857
"lambda[178]",10.661632415,0.0862236919847837,3.68167102043902,7.281274,14.09177,1823.21014379311,1.00021847047791
"lambda[179]",12.9794164725,0.347739499486155,12.4905938536437,5.094536,29.02691,1290.20322938432,1.00181469305441
"lambda[180]",15.17752203,0.118316751646939,5.62076980066085,10.06459,20.73773,2256.83143658004,1.00093832219009
