"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[69]",0.80173912,0.00146111685193817,0.113853115700657,0.6445869,0.9365185,6071.83470966973,1.0002257752911
"phi[70]",0.824595744505,0.00463981782981362,0.157247906400296,0.6453577,0.9634228,1148.59754842117,1.00186321721555
"phi[71]",0.8066374995,0.00171282110736762,0.124018360599941,0.6317396,0.9451494,5242.61492819884,1.0011197143793
"phi[72]",0.403565737775,0.00281425148858562,0.18138137493804,0.1741578,0.6531601,4153.93379409482,1.00071577151234
"phi[73]",0.7702692315,0.00584823140045137,0.213439225858762,0.4745265,0.9566551,1331.98513328912,1.00182991806751
"phi[74]",0.82609558725,0.00147997862471185,0.0990559958847649,0.6874954,0.9404978,4479.71774755226,1.00248055320771
"phi[75]",0.824201221645,0.0134142548042672,0.183303586756472,0.6521916,0.9675077,186.727732300292,1.01642667073348
"phi[76]",0.402140738105,0.0112263700138614,0.360987766532343,0.04091753,0.9479625,1033.96601523059,1.00247027939604
"phi[77]",0.759635859725,0.00240203480493357,0.150023892834346,0.5525132,0.9223113,3900.87711019284,1.00145008741577
"phi[78]",0.8133246929275,0.00335031319037084,0.176018886461176,0.5637826,0.9707,2760.245585976,1.00148971427745
"phi[79]",0.6577648925,0.00180327756879173,0.133130644965801,0.482923,0.8305225,5450.4318157977,1.00077342524707
"phi[80]",0.202924193305,0.00249763636489884,0.136563657431878,0.07487173,0.3545145,2989.59157551011,1.00217718593386
"phi[81]",0.428309331875,0.00269515299916731,0.161268704417885,0.2454747,0.6612081,3580.41481286324,1.00145798382733
"phi[82]",0.539294663375,0.00209603681663716,0.155189125390822,0.3339173,0.7468245,5481.81983166635,0.999243499729843
"phi[83]",0.27915884439775,0.0259561167342156,0.385066132927435,0.01304358,0.9803346,220.085388032992,1.02513656027507
"phi[84]",0.296443277645,0.0055647827654457,0.245641114602329,0.0622525,0.7032459,1948.52368025985,1.00030277031201
"phi[85]",0.65314785725,0.00292583471945008,0.192407798262025,0.3814699,0.8745831,4324.59818370657,0.999715812949775
"phi[86]",0.10347301223,0.00162301163182876,0.0699272829843324,0.04116914,0.1805249,1856.30803079617,1.00205982544496
