"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[43]",0.124166733475,0.00128182927553968,0.0544015681335062,0.06171928,0.1953482,1801.20218302564,1.00939783540775
"phi[44]",0.2530455106725,0.010874504195143,0.113334960982405,0.1206119,0.4015649,108.619767436327,1.02223436745844
"phi[45]",0.524854779213,0.0716407831813529,0.341142475407271,0.01126547,0.9367939,22.6751904323926,1.07470104349125
"phi[46]",0.159822608975,0.00234694945252091,0.104972746995435,0.05361081,0.301139,2000.53268970786,1.0087065215591
"phi[47]",0.5156348303275,0.0042207778101144,0.237039749994711,0.1927573,0.8304211,3153.96870332669,1.0021568219622
"phi[48]",0.240666098925,0.00114867663524201,0.0746430941111104,0.1584485,0.3355765,4222.63645097206,1.00048550006039
"phi[49]",0.782295769425,0.00370203578743817,0.145591335753492,0.5935757,0.9316669,1546.64212858813,1.00819061079782
"phi[50]",0.221968431075,0.000954994123914972,0.0709751201539936,0.1343169,0.313323,5523.45568620056,1.00041092135654
"phi[51]",0.17505779635,0.000950290331801316,0.0636715194084221,0.09321421,0.2569071,4489.29149650779,1.00284857848129
"phi[52]",0.1103791633775,0.00160546638357574,0.0849014926792945,0.03080934,0.2087732,2796.58625439839,1.00289166848361
"phi[53]",0.39155250098,0.00306977458835652,0.20694705480644,0.1408792,0.6948933,4544.70320707047,1.00040864289325
"phi[54]",0.0886250481325,0.000875621362648165,0.0543614307645494,0.03141601,0.1587633,3854.33146231712,1.00274297295657
"phi[55]",0.1379010425325,0.00216763717992302,0.0817674729835895,0.05427419,0.2391263,1422.94452559115,1.01176475818097
"phi[56]",0.366360977325,0.00198694077595156,0.145315200265883,0.1850703,0.5592905,5348.74932450212,1.00077778137703
"phi[57]",0.3156134871799,0.0551800460169523,0.420187932728953,0.003183911,0.9625221,57.9859844939563,1.11648986230786
"phi[58]",0.115577416335,0.00181878574761419,0.0970108309559598,0.03440488,0.2190184,2844.96786044078,1.00288499860852
"phi[59]",0.2933292586425,0.00426533552923263,0.228665693847877,0.05510469,0.6532492,2874.05864845323,1.00130700909815
"phi[60]",0.6345920754025,0.00748081356392355,0.222613068435455,0.3420203,0.8907152,885.530754586846,1.00076595091522
"phi[61]",0.1378207363475,0.00136029541376915,0.0927643498610245,0.03861876,0.2636038,4650.45817354564,0.999296774023522
"phi[62]",0.177611128325,0.00143510776490499,0.0976011245864562,0.06409886,0.3121277,4625.30754400296,1.00051311265224
"phi[63]",0.5520995381625,0.00411617938545141,0.215565067837627,0.2387628,0.8189632,2742.63607154291,1.00451664743093
"phi[64]",0.20008596185,0.00122159369775931,0.085627828775276,0.09840533,0.3093669,4913.33410361425,1.00000120717581
"phi[65]",0.4823820864375,0.00397726414284207,0.226820363776316,0.1886971,0.8082445,3252.33457146287,1.00327192743701
"phi[66]",0.219825953335,0.00676142054711986,0.243808889645696,0.0215033,0.6313216,1300.23896048893,1.0098603031254
"phi[67]",0.59526063265,0.00287449314112279,0.186979227410194,0.3346517,0.8276657,4231.20598692861,0.999668572085232
"phi[68]",0.50589186075,0.00220585781350078,0.118139951306918,0.3613175,0.6611331,2868.39228056435,1.00787498795803
"phi[69]",0.7738707895,0.0106048921377403,0.0953470118671382,0.6463832,0.8907239,80.8354132099684,1.02522080982977
"phi[70]",0.62611105275,0.00393366371918003,0.193036636864728,0.343085,0.849839,2408.15826046473,1.00574842662048
"phi[71]",0.17319277503,0.00164226502791972,0.109989689308279,0.04705104,0.3273674,4485.56816916072,0.999528613483923
"phi[72]",0.116015048985,0.00100451127294211,0.0707983178635799,0.03862355,0.2081251,4967.48138745263,1.00035370379834
"phi[73]",0.236598414015,0.00204435824726145,0.139347489899044,0.07911474,0.4224143,4646.05444634951,1.00090886002807
"phi[74]",0.7362834913975,0.00372435941020279,0.169849452376342,0.5212199,0.9149023,2079.81704070434,0.999928617050545
"phi[75]",0.168754383675,0.000918006332181507,0.0652938337751634,0.08628225,0.2507347,5058.8637740068,0.999730593407799
"phi[76]",0.12618170642,0.0021351633843021,0.115972898890189,0.03462444,0.2532018,2950.19552379959,1.00027636488695
"phi[77]",0.5266334071,0.00182174053672127,0.140277624919111,0.3471688,0.7148671,5929.3046318723,1.00488536292643
"phi[78]",0.2879347005475,0.00565859913514028,0.238346850732627,0.02837792,0.6480803,1774.19347726911,1.00767162235062
"phi[79]",0.1127220232375,0.00199333283455206,0.0993515471402768,0.02981285,0.2158117,2484.21756274336,0.999751869866668
